Year,Month,Day,HeatIndex
2015,8,19,39
2015,8,20,24
2015,8,21,24
2015,8,22,24
2015,8,23,24
2015,8,24,24
2015,8,25,27
2015,8,26,37
2015,8,27,31
2015,8,28,32
2015,8,29,28
2015,8,30,30
2015,8,31,29
2015,9,1,27
2015,9,2,27
2015,9,3,30
2015,9,4,28
2015,9,5,31
2015,9,6,30
2015,9,7,32
2015,9,8,32
2015,9,9,31
2015,9,10,28
2015,9,11,27
2015,9,12,29
2015,9,13,28
2015,9,14,30
2015,9,15,30
2015,9,16,29
2015,9,17,31
2015,9,18,31
2015,9,19,30
2015,9,20,30
2015,9,21,30
2015,9,22,29
2015,9,23,27
2015,9,24,31
2015,9,25,31
2015,9,26,32
2015,9,27,26
2015,9,28,25
2015,9,29,29
2015,9,30,32
2015,10,1,26
2015,10,2,24
2015,10,3,28
2015,10,4,26
2015,10,5,28
2015,10,6,29
2015,10,7,30
2015,10,8,31
2015,10,9,32
2015,10,10,31
2015,10,11,32
2015,10,12,30
2015,10,13,26
2015,10,14,26
2015,10,15,30
2015,10,16,25
2015,10,17,24
2015,10,18,25
2015,10,19,24
2015,10,20,25
2015,10,21,26
2015,10,22,26
2015,10,23,28
2015,10,24,32
2015,10,25,31
2015,10,26,30
2015,10,27,26
2015,10,28,26
2015,10,29,28
2015,10,30,29
2015,10,31,25
2015,11,1,24
2015,11,2,25
2015,11,3,27
2015,11,4,28
2015,11,5,28
2015,11,6,27
2015,11,7,28
2015,11,8,28
2015,11,9,24
2015,11,10,28
2015,11,11,27
2015,11,12,25
2015,11,13,26
2015,11,14,27
2015,11,15,27
2015,11,16,25
2015,11,17,31
2015,11,18,26
2015,11,19,26
2015,11,20,26
2015,11,21,26
2015,11,22,28
2015,11,23,26
2015,11,24,28
2015,11,25,27
2015,11,26,26
2015,11,27,26
2015,11,28,26
2015,11,29,26
2015,11,30,27
2015,12,1,24
2015,12,2,28
2015,12,3,27
2015,12,4,27
2015,12,5,24
2015,12,6,29
2015,12,7,26
2015,12,8,26
2015,12,9,25
2015,12,10,29
2015,12,11,30
2015,12,12,27
2015,12,13,27
2015,12,14,27
2015,12,15,24
2015,12,16,24
2015,12,17,22
2015,12,18,23
2015,12,19,23
2015,12,20,23
2015,12,21,26
2015,12,22,23
2015,12,23,26
2015,12,24,27
2015,12,25,25
2015,12,26,24
2015,12,27,26
2015,12,28,25
2015,12,29,23
2015,12,30,24
2015,12,31,22
2016,1,1,23
2016,1,2,25
2016,1,3,26
2016,1,4,26
2016,1,5,25
2016,1,6,25
2016,1,7,25
2016,1,8,28
2016,1,9,26
2016,1,10,26
2016,1,11,28
2016,1,12,28
2016,1,13,27
2016,1,14,26
2016,1,15,26
2016,1,16,26
2016,1,17,28
2016,1,18,28
2016,1,19,25
2016,1,20,24
2016,1,21,24
2016,1,22,26
2016,1,23,28
2016,1,24,23
2016,1,25,21
2016,1,26,20
2016,1,27,23
2016,1,28,23
2016,1,29,26
2016,1,30,28
2016,1,31,25
2016,2,1,26
2016,2,2,26
2016,2,3,24
2016,2,4,25
2016,2,5,30
2016,2,6,23
2016,2,7,22
2016,2,8,21
2016,2,9,22
2016,2,10,24
2016,2,11,24
2016,2,12,24
2016,2,13,27
2016,2,14,29
2016,2,15,25
2016,2,16,23
2016,2,17,24
2016,2,18,23
2016,2,19,24
2016,2,20,27
2016,2,21,24
2016,2,22,27
2016,2,23,28
2016,2,24,25
2016,2,25,24
2016,2,26,22
2016,2,27,25
2016,2,28,24
2016,2,29,25
2016,3,1,24
2016,3,2,23
2016,3,3,25
2016,3,4,25
2016,3,5,31
2016,3,6,31
2016,3,7,30
2016,3,8,30
2016,3,9,30
2016,3,10,30
2016,3,11,29
2016,3,12,26
2016,3,13,28
2016,3,14,30
2016,3,15,26
2016,3,16,30
2016,3,17,28
2016,3,18,27
2016,3,19,29
2016,3,20,29
2016,3,21,29
2016,3,22,29
2016,3,23,29
2016,3,24,32
2016,3,25,33
2016,3,26,28
2016,3,27,27
2016,3,28,23
2016,3,29,25
2016,3,30,27
2016,3,31,26
2016,4,1,29
2016,4,2,29
2016,4,3,29
2016,4,4,28
2016,4,5,30
2016,4,6,27
2016,4,7,29
2016,4,8,28
2016,4,9,29
2016,4,10,30
2016,4,11,32
2016,4,12,33
2016,4,13,36
2016,4,14,35
2016,4,15,33
2016,4,16,32
2016,4,17,31
2016,4,18,32
2016,4,19,30
2016,4,20,29
2016,4,21,30
2016,4,22,31
2016,4,23,30
2016,4,24,31
2016,4,25,31
2016,4,26,32
2016,4,27,33
2016,4,28,33
2016,4,29,32
2016,4,30,32
2016,5,1,33
2016,5,2,31
2016,5,3,32
2016,5,4,32
2016,5,5,31
2016,5,6,30
2016,5,7,30
2016,5,8,31
2016,5,9,32
2016,5,10,33
2016,5,11,34
2016,5,12,31
2016,5,13,31
2016,5,14,32
2016,5,15,33
2016,5,16,35
2016,5,17,31
2016,5,18,34
2016,5,19,33
2016,5,20,31
2016,5,21,31
2016,5,22,33
2016,5,23,32
2016,5,24,30
2016,5,25,34
2016,5,26,33
2016,5,27,33
2016,5,28,35
2016,5,29,33
2016,5,30,32
2016,5,31,30
2016,6,1,29
2016,6,2,34
2016,6,3,32
2016,6,4,32
2016,6,5,35
2016,6,6,32
2016,6,7,29
2016,6,8,30
2016,6,9,30
2016,6,10,34
2016,6,11,36
2016,6,12,32
2016,6,13,30
2016,6,14,31
2016,6,15,36
2016,6,16,33
2016,6,17,30
2016,6,18,30
2016,6,19,32
2016,6,20,29
2016,6,21,31
2016,6,22,30
2016,6,23,31
2016,6,24,31
2016,6,25,31
2016,6,26,30
2016,6,27,28
2016,6,28,32
2016,6,29,31
2016,6,30,26
2016,7,1,32
2016,7,2,31
2016,7,3,29
2016,7,4,27
2016,7,5,30
2016,7,6,30
2016,7,7,25
2016,7,8,23
2016,7,9,25
2016,7,10,29
2016,7,11,26
2016,7,12,30
2016,7,13,31
2016,7,14,33
2016,7,15,32
2016,7,16,36
2016,7,17,35
2016,7,18,32
2016,7,19,30
2016,7,20,29
2016,7,21,32
2016,7,22,34
2016,7,23,33
2016,7,24,32
2016,7,25,32
2016,7,26,35
2016,7,27,33
2016,7,28,31
2016,7,29,32
2016,7,30,30
2016,7,31,25
2016,8,1,30
2016,8,2,29
2016,8,3,32
2016,8,4,33
2016,8,5,32
2016,8,6,31
2016,8,7,25
2016,8,8,24
2016,8,9,23
2016,8,10,23
2016,8,11,25
2016,8,12,25
2016,8,13,25
2016,8,14,25
2016,8,15,25
2016,8,16,25
2016,8,17,28
2016,8,18,27
2016,8,19,26
2016,8,20,27
2016,8,21,30
2016,8,22,29
2016,8,23,27
2016,8,24,28
2016,8,25,25
2016,8,26,28
2016,8,27,26
2016,8,28,26
2016,8,29,26
2016,8,30,27
2016,8,31,28
2016,9,1,26
2016,9,2,30
2016,9,3,28
2016,9,4,28
2016,9,5,28
2016,9,6,33
2016,9,7,30
2016,9,8,32
2016,9,9,31
2016,9,10,31
2016,9,11,31
2016,9,12,29
2016,9,13,27
2016,9,14,24
2016,9,15,29
2016,9,16,29
2016,9,17,30
2016,9,18,29
2016,9,19,31
2016,9,20,25
2016,9,21,30
2016,9,22,26
2016,9,23,30
2016,9,24,29
2016,9,25,30
2016,9,26,28
2016,9,27,26
2016,9,28,23
2016,9,29,24
2016,9,30,25
2016,10,1,32
2016,10,2,29
2016,10,3,26
2016,10,4,26
2016,10,5,26
2016,10,6,29
2016,10,7,27
2016,10,8,30
2016,10,9,28
2016,10,10,28
2016,10,11,30
2016,10,12,28
2016,10,13,26
2016,10,14,30
2016,10,15,25
2016,10,16,27
2016,10,17,29
2016,10,18,31
2016,10,19,25
2016,10,20,25
2016,10,21,31
2016,10,22,30
2016,10,23,30
2016,10,24,30
2016,10,25,29
2016,10,26,27
2016,10,27,26
2016,10,28,27
2016,10,29,29
2016,10,30,27
2016,10,31,27
2016,11,1,24
2016,11,2,24
2016,11,3,25
2016,11,4,23
2016,11,5,27
2016,11,6,28
2016,11,7,26
2016,11,8,25
2016,11,9,24
2016,11,10,25
2016,11,11,25
2016,11,12,26
2016,11,13,25
2016,11,14,26
2016,11,15,23
2016,11,16,26
2016,11,17,27
2016,11,18,25
2016,11,19,24
2016,11,20,26
2016,11,21,27
2016,11,22,27
2016,11,23,26
2016,11,24,24
2016,11,25,23
2016,11,26,25
2016,11,27,26
2016,11,28,28
2016,11,29,26
2016,11,30,24
2016,12,1,25
2016,12,2,23
2016,12,3,26
2016,12,4,26
2016,12,5,25
2016,12,6,25
2016,12,7,23
2016,12,8,25
2016,12,9,25
2016,12,10,27
2016,12,11,25
2016,12,12,25
2016,12,13,24
2016,12,14,25
2016,12,15,23
2016,12,16,22
2016,12,17,22
2016,12,18,22
2016,12,19,24
2016,12,20,26
2016,12,21,25
2016,12,22,26
2016,12,23,24
2016,12,24,25
2016,12,25,24
2016,12,26,24
2016,12,27,30
2016,12,28,28
2016,12,29,28
2016,12,30,25
2016,12,31,23
2017,1,1,23
2017,1,2,24
2017,1,3,24
2017,1,4,23
2017,1,5,23
2017,1,6,24
2017,1,7,25
2017,1,8,24
2017,1,9,25
2017,1,10,22
2017,1,11,22
2017,1,12,22
2017,1,13,25
2017,1,14,25
2017,1,15,24
2017,1,16,21
2017,1,17,23
2017,1,18,22
2017,1,19,24
2017,1,20,24
2017,1,21,25
2017,1,22,24
2017,1,23,22
2017,1,24,21
2017,1,25,21
2017,1,26,21
