Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2014.0,11,9,36.0,
2014.0,11,10,34.0,
2014.0,11,11,36.0,
2014.0,11,12,39.0,
2014.0,11,13,38.0,
2014.0,11,14,38.0,
2014.0,11,15,39.0,
2014.0,11,16,34.0,
2014.0,11,17,36.0,
2014.0,11,18,36.0,
2014.0,11,19,36.0,
2014.0,11,20,36.0,
2014.0,11,21,38.0,
2014.0,11,22,38.0,
2014.0,11,23,39.0,
2014.0,11,24,37.0,
2014.0,11,25,37.0,
2014.0,11,26,27.0,
2014.0,11,27,41.0,
2014.0,11,28,37.0,
2014.0,11,29,31.0,
2014.0,11,30,33.0,
2014.0,12,1,39.0,
2014.0,12,2,36.0,
2014.0,12,3,36.0,
2014.0,12,4,37.0,
2014.0,12,5,40.0,
2014.0,12,6,40.0,
2014.0,12,7,41.0,
2014.0,12,8,41.0,
2014.0,12,9,37.0,
2014.0,12,10,36.0,
2014.0,12,11,36.0,
2014.0,12,12,35.0,
2014.0,12,13,35.0,
2014.0,12,14,36.0,
2014.0,12,15,37.0,
2014.0,12,16,34.0,
2014.0,12,17,34.0,
2014.0,12,18,31.0,
2014.0,12,19,30.0,
2014.0,12,20,39.0,
2014.0,12,21,37.0,
2014.0,12,22,38.0,
2014.0,12,23,37.0,
2014.0,12,24,38.0,
2014.0,12,25,33.0,
2014.0,12,26,36.0,
2014.0,12,27,33.0,
2014.0,12,28,26.0,
2014.0,12,29,34.0,
2014.0,12,30,40.0,
2014.0,12,31,34.0,
2015.0,1,1,36.0,
2015.0,1,2,31.0,
2015.0,1,3,36.0,
2015.0,1,4,35.0,
2015.0,1,5,31.0,
2015.0,1,6,32.0,
2015.0,1,7,33.0,
2015.0,1,8,35.0,
2015.0,1,9,26.0,
2015.0,1,10,32.0,
2015.0,1,11,32.0,
2015.0,1,12,27.0,
2015.0,1,13,34.0,
2015.0,1,14,34.0,
2015.0,1,15,35.0,
2015.0,1,16,36.0,
2015.0,1,17,38.0,
2015.0,1,18,37.0,
2015.0,1,19,40.0,
2015.0,1,20,35.0,
2015.0,1,21,37.0,
2015.0,1,22,36.0,
2015.0,1,23,36.0,
2015.0,1,24,27.0,
2015.0,1,25,36.0,
2015.0,1,26,33.0,
2015.0,1,27,35.0,
2015.0,1,28,35.0,
2015.0,1,29,36.0,
2015.0,1,30,36.0,
2015.0,1,31,32.0,
2015.0,2,1,34.0,
2015.0,2,2,39.0,
2015.0,2,3,33.0,
2015.0,2,4,33.0,
2015.0,2,5,33.0,
2015.0,2,6,37.0,
2015.0,2,7,33.0,
2015.0,2,8,31.0,
2015.0,2,9,33.0,
2015.0,2,10,34.0,
2015.0,2,11,34.0,
2015.0,2,12,38.0,
2015.0,2,13,38.0,
2015.0,2,14,30.0,
2015.0,2,15,35.0,
2015.0,2,16,33.0,
2015.0,2,17,33.0,
2015.0,2,18,33.0,
2015.0,2,19,32.0,
2015.0,2,20,34.0,
2015.0,2,21,34.0,
2015.0,2,22,32.0,
2015.0,2,23,33.0,
2015.0,2,24,34.0,
2015.0,2,25,34.0,
2015.0,2,26,32.0,
2015.0,2,27,35.0,
2015.0,2,28,34.0,
2015.0,3,1,36.0,
2015.0,3,2,26.0,
2015.0,3,3,34.0,
2015.0,3,4,33.0,
2015.0,3,5,34.0,
2015.0,3,6,36.0,
2015.0,3,7,27.0,
2015.0,3,8,35.0,
2015.0,3,9,-999.0,
2015.0,3,10,28.0,
2015.0,3,11,33.0,
2015.0,3,12,32.0,
2015.0,3,13,31.0,
2015.0,3,14,34.0,
2015.0,3,15,36.0,
2015.0,3,16,27.0,
2015.0,3,17,33.0,
2015.0,3,18,34.0,
2015.0,3,19,33.0,
2015.0,3,20,36.0,
2015.0,3,21,36.0,
2015.0,3,22,39.0,
2015.0,3,23,35.0,
2015.0,3,24,26.0,
2015.0,3,25,33.0,
2015.0,3,26,34.0,
2015.0,3,27,35.0,
2015.0,3,28,35.0,
2015.0,3,29,37.0,
2015.0,3,30,36.0,
2015.0,3,31,36.0,
2015.0,4,1,36.0,
2015.0,4,2,35.0,
2015.0,4,3,36.0,
2015.0,4,4,41.0,
2015.0,4,5,41.0,
2015.0,4,6,36.0,
2015.0,4,7,34.0,
2015.0,4,8,35.0,
2015.0,4,9,34.0,
2015.0,4,10,37.0,
2015.0,4,11,36.0,
2015.0,4,12,34.0,
2015.0,4,13,36.0,
2015.0,4,14,36.0,
2015.0,4,15,37.0,
2015.0,4,16,38.0,
2015.0,4,17,26.0,
2015.0,4,18,35.0,
2015.0,4,19,38.0,
2015.0,4,20,39.0,
2015.0,4,21,37.0,
2015.0,4,22,38.0,
2015.0,4,23,36.0,
2015.0,4,24,38.0,
2015.0,4,25,37.0,
2015.0,4,26,36.0,
2015.0,4,27,40.0,
2015.0,4,28,38.0,
2015.0,4,29,37.0,
2015.0,4,30,38.0,
2015.0,5,1,38.0,
2015.0,5,2,38.0,
2015.0,5,3,39.0,
2015.0,5,4,37.0,
2015.0,5,5,38.0,
2015.0,5,6,37.0,
2015.0,5,7,37.0,
2015.0,5,8,41.0,
2015.0,5,9,41.0,
2015.0,5,10,42.0,
2015.0,5,11,38.0,
2015.0,5,12,39.0,
2015.0,5,13,38.0,
2015.0,5,14,36.0,
2015.0,5,15,37.0,
2015.0,5,16,38.0,
2015.0,5,17,40.0,
2015.0,5,18,39.0,
2015.0,5,19,42.0,
2015.0,5,20,41.0,
2015.0,5,21,42.0,
2015.0,5,22,42.0,
2015.0,5,23,39.0,
2015.0,5,24,42.0,
2015.0,5,25,43.0,
2015.0,5,26,39.0,
2015.0,5,27,37.0,
2015.0,5,28,38.0,
2015.0,5,29,40.0,
2015.0,5,30,42.0,
2015.0,5,31,42.0,
2015.0,6,1,40.0,
2015.0,6,2,41.0,
2015.0,6,3,40.0,
2015.0,6,4,39.0,
2015.0,6,5,41.0,
2015.0,6,6,43.0,
2015.0,6,7,40.0,
2015.0,6,8,43.0,
2015.0,6,9,35.0,
2015.0,6,10,39.0,
2015.0,6,11,38.0,
2015.0,6,12,40.0,
2015.0,6,13,38.0,
2015.0,6,14,43.0,
2015.0,6,15,39.0,
2015.0,6,16,38.0,
2015.0,6,17,39.0,
2015.0,6,18,36.0,
2015.0,6,19,36.0,
2015.0,6,20,42.0,
2015.0,6,21,40.0,
2015.0,6,22,35.0,
2015.0,6,23,36.0,
2015.0,6,24,31.0,
2015.0,6,25,32.0,
2015.0,6,26,30.0,
2015.0,6,27,36.0,
2015.0,6,28,39.0,
2015.0,6,29,32.0,
2015.0,6,30,41.0,
2015.0,7,1,40.0,
2015.0,7,2,40.0,
2015.0,7,3,38.0,
2015.0,7,4,42.0,
2015.0,7,5,45.0,
2015.0,7,6,43.0,
2015.0,7,7,43.0,
2015.0,7,8,40.0,
2015.0,7,9,42.0,
2015.0,7,10,42.0,
2015.0,7,11,40.0,
2015.0,7,12,43.0,
2015.0,7,13,42.0,
2015.0,7,14,42.0,
2015.0,7,15,41.0,
2015.0,7,16,41.0,
2015.0,7,17,40.0,
2015.0,7,18,38.0,
2015.0,7,19,40.0,
2015.0,7,20,38.0,
2015.0,7,21,41.0,
2015.0,7,22,42.0,
