Year,Month,Day,HeatIndex
2015,6,25,25
2015,6,26,25
2015,6,27,26
2015,6,28,25
2015,6,29,24
2015,6,30,25
2015,7,1,25
2015,7,2,24
2015,7,3,23
2015,7,4,23
2015,7,5,19
2015,7,6,18
2015,7,7,18
2015,7,8,20
2015,7,9,21
2015,7,10,19
2015,7,11,20
2015,7,12,20
2015,7,13,19
2015,7,14,19
2015,7,15,18
2015,7,16,18
2015,7,17,19
2015,7,18,18
2015,7,19,22
2015,7,20,25
2015,7,21,23
2015,7,22,23
2015,7,23,23
2015,7,24,22
2015,7,25,23
2015,7,26,22
2015,7,27,22
2015,7,28,23
2015,7,29,23
2015,7,30,22
2015,7,31,24
2015,8,1,23
2015,8,2,24
2015,8,3,26
2015,8,4,25
2015,8,5,23
2015,8,6,24
2015,8,7,23
2015,8,8,21
2015,8,9,21
2015,8,10,22
2015,8,11,24
2015,8,12,22
2015,8,13,24
2015,8,14,24
2015,8,15,26
2015,8,16,25
2015,8,17,26
2015,8,18,24
2015,8,19,24
2015,8,20,19
2015,8,21,19
2015,8,22,19
2015,8,23,19
2015,8,24,21
2015,8,25,21
2015,8,26,22
2015,8,27,24
2015,8,28,24
2015,8,29,24
2015,8,30,21
2015,8,31,22
2015,9,1,23
2015,9,2,25
2015,9,3,26
2015,9,4,23
2015,9,5,22
2015,9,6,24
2015,9,7,23
2015,9,8,24
2015,9,9,24
2015,9,10,23
2015,9,11,24
2015,9,12,25
2015,9,13,24
2015,9,14,24
2015,9,15,24
2015,9,16,24
2015,9,17,25
2015,9,18,24
2015,9,19,23
2015,9,20,24
2015,9,21,23
2015,9,22,24
2015,9,23,22
2015,9,24,24
2015,9,25,24
2015,9,26,24
2015,9,27,22
2015,9,28,22
2015,9,29,24
2015,9,30,25
2015,10,1,24
2015,10,2,19
2015,10,3,23
2015,10,4,24
2015,10,5,25
2015,10,6,27
2015,10,7,24
2015,10,8,24
2015,10,9,24
2015,10,10,26
2015,10,11,26
2015,10,12,24
2015,10,13,25
2015,10,14,21
2015,10,15,24
2015,10,16,24
2015,10,17,23
2015,10,18,20
2015,10,19,20
2015,10,20,18
2015,10,21,18
2015,10,22,22
2015,10,23,22
2015,10,24,25
2015,10,25,25
2015,10,26,21
2015,10,27,23
2015,10,28,23
2015,10,29,23
2015,10,30,23
2015,10,31,24
2015,11,1,24
2015,11,2,25
2015,11,3,23
2015,11,4,24
2015,11,5,24
2015,11,6,25
2015,11,7,24
2015,11,8,25
2015,11,9,25
2015,11,10,24
2015,11,11,24
2015,11,12,24
2015,11,13,22
2015,11,14,25
2015,11,15,22
2015,11,16,23
2015,11,17,25
2015,11,18,25
2015,11,19,24
2015,11,20,24
2015,11,21,23
