Year,Month,Day,HeatIndex
2015,4,5,38
2015,4,6,39
2015,4,7,39
2015,4,8,37
2015,4,9,37
2015,4,10,37
2015,4,11,35
2015,4,12,36
2015,4,13,33
2015,4,14,29
2015,4,15,32
2015,4,16,34
2015,4,17,37
2015,4,18,39
2015,4,19,37
2015,4,20,41
2015,4,21,40
2015,4,22,39
2015,4,23,38
2015,4,24,39
2015,4,25,39
2015,4,26,39
2015,4,27,39
2015,4,28,39
2015,4,29,38
2015,4,30,37
2015,5,1,39
2015,5,2,39
2015,5,3,39
2015,5,4,39
2015,5,5,38
2015,5,6,38
2015,5,7,37
2015,5,8,41
2015,5,9,40
2015,5,10,37
2015,5,11,37
2015,5,12,41
2015,5,13,39
2015,5,14,42
2015,5,15,41
2015,5,16,39
2015,5,17,38
2015,5,18,39
2015,5,19,40
2015,5,20,40
2015,5,21,40
2015,5,22,40
2015,5,23,41
2015,5,24,37
2015,5,25,42
2015,5,26,41
2015,5,27,41
2015,5,28,42
2015,5,29,42
2015,5,30,43
2015,5,31,40
2015,6,1,42
2015,6,2,41
2015,6,3,44
2015,6,4,40
2015,6,5,41
2015,6,6,41
2015,6,7,43
2015,6,8,43
2015,6,9,42
2015,6,10,40
2015,6,11,41
2015,6,12,45
2015,6,13,44
2015,6,14,43
2015,6,15,44
2015,6,16,45
2015,6,17,43
2015,6,18,43
2015,6,19,43
2015,6,20,43
2015,6,21,40
2015,6,22,40
2015,6,23,41
2015,6,24,42
2015,6,25,40
2015,6,26,42
2015,6,27,42
2015,6,28,42
2015,6,29,42
2015,6,30,42
2015,7,1,46
2015,7,2,42
2015,7,3,44
2015,7,4,43
2015,7,5,37
2015,7,6,29
2015,7,7,33
2015,7,8,31
2015,7,9,38
2015,7,10,36
2015,7,11,37
2015,7,12,35
2015,7,13,36
2015,7,14,34
2015,7,15,33
2015,7,16,31
2015,7,17,30
2015,7,18,31
2015,7,19,36
2015,7,20,38
2015,7,21,39
2015,7,22,37
2015,7,23,37
2015,7,24,31
2015,7,25,39
2015,7,26,39
2015,7,27,36
2015,7,28,36
2015,7,29,37
2015,7,30,39
2015,7,31,40
2015,8,1,40
2015,8,2,42
2015,8,3,40
2015,8,4,41
2015,8,5,40
2015,8,6,39
2015,8,7,39
2015,8,8,38
2015,8,9,40
2015,8,10,40
2015,8,11,38
2015,8,12,40
2015,8,13,38
2015,8,14,40
2015,8,15,40
2015,8,16,41
2015,8,17,41
2015,8,18,41
2015,8,19,41
2015,8,20,40
2015,8,21,32
2015,8,22,33
2015,8,23,29
2015,8,24,37
2015,8,25,38
2015,8,26,37
2015,8,27,38
2015,8,28,38
2015,8,29,40
2015,8,30,39
2015,8,31,37
2015,9,1,38
2015,9,2,41
2015,9,3,41
2015,9,4,40
2015,9,5,40
2015,9,6,38
2015,9,7,39
2015,9,8,41
2015,9,9,40
2015,9,10,36
2015,9,11,38
2015,9,12,40
2015,9,13,42
2015,9,14,37
2015,9,15,39
2015,9,16,40
2015,9,17,42
2015,9,18,40
2015,9,19,40
2015,9,20,40
2015,9,21,40
2015,9,22,39
2015,9,23,39
2015,9,24,39
2015,9,25,40
2015,9,26,35
2015,9,27,40
2015,9,28,36
2015,9,29,38
2015,9,30,40
2015,10,1,38
2015,10,2,43
2015,10,3,39
2015,10,4,41
2015,10,5,42
2015,10,6,41
2015,10,7,40
2015,10,8,39
2015,10,9,40
2015,10,10,39
2015,10,11,39
2015,10,12,39
2015,10,13,37
2015,10,14,36
2015,10,15,34
2015,10,16,34
2015,10,17,34
2015,10,18,32
2015,10,19,36
2015,10,20,28
2015,10,21,26
2015,10,22,29
2015,10,23,33
2015,10,24,34
2015,10,25,39
2015,10,26,37
2015,10,27,36
2015,10,28,33
2015,10,29,35
2015,10,30,38
2015,10,31,36
2015,11,1,37
2015,11,2,37
2015,11,3,38
2015,11,4,40
2015,11,5,41
2015,11,6,37
2015,11,7,38
2015,11,8,39
2015,11,9,37
2015,11,10,39
2015,11,11,34
2015,11,12,35
2015,11,13,37
2015,11,14,36
2015,11,15,37
2015,11,16,37
2015,11,17,37
2015,11,18,37
2015,11,19,38
2015,11,20,35
2015,11,21,36
2015,11,22,37
2015,11,23,36
2015,11,24,36
2015,11,25,35
2015,11,26,33
2015,11,27,29
2015,11,28,36
2015,11,29,34
2015,11,30,36
2015,12,1,35
2015,12,2,34
2015,12,3,36
2015,12,4,37
2015,12,5,34
2015,12,6,37
2015,12,7,38
2015,12,8,37
2015,12,9,36
2015,12,10,36
2015,12,11,33
2015,12,12,38
2015,12,13,37
2015,12,14,36
2015,12,15,33
2015,12,16,25
2015,12,17,26
2015,12,18,31
2015,12,19,33
2015,12,20,30
2015,12,21,35
2015,12,22,36
2015,12,23,34
2015,12,24,33
2015,12,25,33
2015,12,26,31
2015,12,27,33
2015,12,28,30
2015,12,29,30
2015,12,30,33
2015,12,31,32
2016,1,1,35
2016,1,2,33
2016,1,3,35
2016,1,4,35
2016,1,5,35
2016,1,6,32
2016,1,7,35
2016,1,8,32
2016,1,9,32
2016,1,10,31
2016,1,11,32
2016,1,12,31
2016,1,13,32
2016,1,14,32
2016,1,15,32
2016,1,16,34
2016,1,17,33
2016,1,18,31
2016,1,19,33
2016,1,20,34
2016,1,21,34
2016,1,22,34
2016,1,23,32
2016,1,24,28
2016,1,25,29
2016,1,26,30
2016,1,27,30
2016,1,28,32
2016,1,29,33
2016,1,30,35
2016,1,31,36
2016,2,1,34
2016,2,2,33
2016,2,3,31
2016,2,4,34
2016,2,5,26
2016,2,6,29
2016,2,7,27
2016,2,8,28
2016,2,9,29
2016,2,10,32
2016,2,11,33
2016,2,12,34
2016,2,13,34
2016,2,14,33
2016,2,15,33
2016,2,16,32
2016,2,17,32
2016,2,18,31
2016,2,19,31
2016,2,20,31
2016,2,21,33
2016,2,22,34
2016,2,23,33
2016,2,24,32
2016,2,25,33
2016,2,26,36
2016,2,27,34
